	GSbR_01510	GSbR_02440	GSbR_02530	GSbR_02830	GSbR_07370	GSbR_07380	GSbR_07390	GSbR_07400	GSbR_07410	GSbR_07930	GSbR_08030	GSbR_08820	GSbR_09790	GSbR_12660	GSbR_16280	GSbR_16780	GSbR_19810	GSbR_19820	GSbR_19830	GSbR_19840	GSbR_19850	GSbR_19870	GSbR_19880	GSbR_19890	GSbR_19910	GSbR_22970	GSbR_22980	GSbR_25580	GSbR_25680	GSbR_28330	GSbR_28530	GSbR_28800	GSbR_28810	GSbR_28820	GSbR_28830	GSbR_30770	GSbR_41990
Sorangium_cellulosum_So_ce_56	0.43	0	0.49	0.16	0	0	0.11	0.36	0.28	0.18	0	0	0	0	0	0	0.17	0.13	0.2	0.14	0.42	0.08	0.04	0	0.02	0.32	0.46	0	0.21	0	0.4	0.61	0.66	0.55	0.15	0.25	0.3
Anaeromyxobacter_dehalogenans_2CP-1	0.68	0	0.47	0.19	0	0	0.1	0.38	0.31	0.12	0.05	0	0	0.03	0	0.15	0.24	0.18	0.27	0.21	0.52	0	0	0.12	0.04	0.37	0.47	0.09	0.18	0	0.45	0.66	0.79	0.57	0.24	0.21	0.29
Stigmatella_aurantiaca_DW4/3-1	0.65	0	0.52	0.21	0	0	0.1	0.38	0.3	0	0	0.08	0	0.02	0	0.15	0.24	0.17	0.29	0.27	0.5	0	0	0	0.04	0.4	0.43	0	0.19	0	0.46	0.65	0.76	0.6	0.26	0.2	0.3
Corallococcus_coralloides_DSM_2259	0.65	0	0.52	0.16	0	0	0.1	0.38	0.3	0	0.05	0	0	0.02	0	0.15	0.25	0.2	0.28	0.25	0.51	0	0	0	0.02	0.46	0.45	0.08	0.18	0	0.45	0.66	0.78	0.57	0.25	0.23	0.3
Myxococcus_xanthus_DK_1622	0.66	0	0.52	0.21	0	0	0.09	0.37	0.3	0.12	0	0	0	0.03	0	0.15	0.25	0.19	0.31	0.26	0.51	0	0.04	0	0.04	0.42	0.44	0.08	0.19	0	0.45	0.66	0.77	0.56	0.23	0.24	0.3
Myxococcus_stipitatus_DSM_14675	0.66	0	0.51	0.16	0	0.09	0.1	0.38	0.3	0	0	0	0	0.02	0	0.15	0.25	0.19	0.29	0.22	0.51	0	0	0	0.04	0.47	0.44	0.08	0.19	0	0.43	0.66	0.78	0.58	0.24	0.23	0.3
Geoalkalibacter_subterraneus_Red1	0.69	0	0.76	0.16	0.22	0.22	0.21	0.69	0.5	0.34	0.07	0.1	0.07	0.05	0	0.21	0.28	0.21	0.42	0.38	0.58	0	0	0.16	0.04	0.7	0.54	0.17	0.3	0	0.4	0.78	0.77	0.7	0.36	0.23	0.39
Desulfuromonas_soudanensis_WTL	0.71	0	0.63	0.19	0.2	0.21	0.21	0.71	0.5	0.15	0	0	0	0.04	0	0.13	0.24	0.26	0.46	0.39	0.55	0	0.04	0	0.11	0.65	0.57	0	0.2	0	0.77	0.79	0.76	0.71	0.34	0.22	0.3
Pelobacter_carbinolicus_DSM_2380	0.69	0	0.63	0.17	0.16	0.15	0.16	0.62	0.41	0	0.06	0.08	0	0	0.07	0.14	0.26	0.23	0.38	0.34	0.49	0	0.04	0.17	0.04	0.57	0.54	0.07	0.2	0	0.4	0.78	0.76	0.69	0.3	0.25	0.3
Pelobacter_acetylenicus_DSM_3246	0.69	0	0.65	0.18	0.15	0	0.13	0.6	0.39	0	0.05	0.07	0	0	0	0.13	0.26	0.22	0.42	0.38	0.53	0	0.05	0.19	0.02	0.67	0.54	0.22	0.19	0	0.39	0.77	0.76	0.69	0.3	0.26	0.3
Geobacter_metallireducens_GS-15	0.79	0.19	0.82	0.33	0.37	0.31	0.41	0.8	0.69	0	0.22	0	0.26	0.04	0.15	0.33	0.42	0.34	0.64	0.57	0.7	0	0.06	0.11	0.04	0.74	0.67	0	0.19	0.23	0.79	0.85	0.81	0.81	0.46	0.22	0.6
Geobacter_anodireducens_SD-1	0.79	0.16	0.82	0.37	0.35	0.37	0.41	0.67	0.7	0	0.21	0.14	0.22	0.09	0.17	0.42	0.4	0.37	0.66	0.56	0.69	0.36	0.24	0.36	0.2	0.77	0.67	0.25	0.2	0.23	0.78	0.86	0.83	0.81	0.46	0.23	0.6
Geobacter_sulfurreducens_YM18	0.8	0.17	0.82	0.4	0.36	0.37	0.42	0.79	0.69	0.12	0.21	0.14	0.22	0.08	0.18	0.39	0.41	0.36	0.66	0.55	0.69	0.33	0.24	0.32	0.24	0.81	0.67	0.24	0.2	0.24	0.78	0.86	0.82	0.82	0.46	0.22	0.59
Geobacter_sulfurreducens_PCA	0.79	0.17	0.82	0.38	0.36	0.37	0.42	0.79	0.69	0.12	0.21	0.14	0.22	0.1	0.17	0.39	0.41	0.36	0.66	0.55	0.69	0.33	0.24	0.3	0.24	0.76	0.67	0.24	0.2	0.23	0.78	0.86	0.82	0.82	0.46	0.22	0.59
Geobacter_sulfurreducens_KN400	0.79	0.17	0.82	0.38	0.36	0.37	0.42	0.79	0.69	0.12	0.21	0.14	0.22	0.1	0.17	0.39	0.41	0.36	0.66	0.55	0.69	0.33	0.24	0.3	0.24	0.76	0.67	0.24	0.2	0.23	0.78	0.86	0.82	0.82	0.46	0.23	0.59
Geobacter_sulfurreducens_AM-1	0.79	0.17	0.82	0.38	0.36	0.37	0.42	0.79	0.69	0.12	0.21	0.14	0.23	0.04	0.17	0.39	0.41	0.36	0.66	0.55	0.69	0.33	0.24	0.3	0.24	0.8	0.67	0.24	0.2	0.24	0.78	0.86	0.82	0.82	0.47	0.22	0.59
Geobacter_sp._DSM_9736	0.78	0.15	0.84	0.39	0.3	0.38	0.43	0.78	0.7	0	0.25	0.18	0.22	0.05	0.4	0.38	0.37	0.37	0.62	0.53	0.63	0.34	0.24	0.31	0.45	0.79	0.64	0.19	0.18	0.19	0.8	0.84	0.84	0.81	0.45	0.25	0.29
Geobacter_uraniireducens_Rf4	0.79	0.07	0.83	0.61	0.39	0.39	0.46	0.78	0.72	0.42	0.18	0	0	0.06	0.18	0.35	0.41	0.33	0.66	0.52	0.68	0.36	0.27	0.3	0.28	0.64	0.67	0	0.23	0	0.41	0.86	0.84	0.84	0.5	0.23	0.3
Geobacter_daltonii_FRC-32	0.79	0.52	0.82	0.33	0.39	0.37	0.38	0.78	0.7	0	0.19	0.17	0.18	0.34	0.16	0.39	0.39	0.32	0.58	0.48	0.69	0.37	0.25	0.34	0.21	0.66	0.64	0.18	0.2	0.25	0.82	0.85	0.84	0.84	0.45	0.22	0.48
Geobacter_sp._M18	0.78	0.16	0.79	0.32	0.3	0.28	0.43	0.76	0.65	0	0.22	0.19	0.21	0.05	0.1	0.37	0.43	0.36	0.61	0.47	0.69	0.31	0.26	0.29	0.23	0.73	0.63	0.17	0.2	0.21	0.79	0.85	0.84	0.84	0.44	0.22	0.46
Geobacter_bemidjiensis_Bem	0.78	0.18	0.79	0.33	0.31	0.28	0.44	0.76	0.64	0	0.21	0.18	0.33	0.06	0.09	0.37	0.43	0.37	0.61	0.48	0.68	0.37	0.24	0.29	0.43	0.71	0.64	0.17	0.19	0.23	0.78	0.85	0.85	0.83	0.45	0.21	0.45
Geobacter_sp._M21	0.78	0.18	0.79	0.33	0.33	0.28	0.42	0.76	0.65	0	0.2	0.18	0.35	0.07	0.08	0.36	0.42	0.37	0.6	0.49	0.68	0.36	0.25	0.25	0.41	0.74	0.64	0.17	0.19	0.22	0.78	0.85	0.85	0.84	0.45	0.21	0.45
Geobacter_lovleyi_SZ	0.86	0.19	0.83	0.32	0.27	0.23	0.25	0.75	0.61	0.11	0.35	0.44	0.36	0.06	0	0.64	0.48	0.41	0.73	0.61	0.69	0.65	0.64	0.59	0.63	0.77	0.66	0.21	0.9	0.59	0.79	0.86	0.86	0.82	0.49	0.23	0.65
Pelobacter_propionicus_DSM_2379	0.9	0.19	0.85	0.63	0.57	0.53	0.64	0.86	0.8	0	0.37	0.43	0.23	0	0.09	0.67	0.54	0.51	0.81	0.67	0.75	0.65	0.62	0.64	0.59	0.79	0.77	0.13	0.8	0.64	0.87	0.89	0.9	0.88	0.62	0.22	0.29
Geobacter_sp._SbR.gbff	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Geobacter_sp._FeAm09	0.86	0.15	0.87	0.64	0.51	0.58	0.65	0.87	0.81	0	0.39	0	0.07	0.08	0	0.67	0.63	0.54	0.84	0.7	0.63	0.51	0.37	0.39	0.25	0.73	0.75	0.15	0.65	0.52	0.41	0.9	0.91	0.87	0.6	0.21	0.7
Geobacter_pickeringii_G13	0.8	0.17	0.81	0.37	0.35	0.33	0.43	0.79	0.69	0	0.22	0	0.26	0.04	0.18	0.32	0.42	0.37	0.66	0.53	0.71	0	0.05	0.13	0.06	0.77	0.67	0	0.19	0.22	0.79	0.86	0.82	0.84	0.47	0.22	0.33
