	GSbR_00890	GSbR_07250	GSbR_13230	GSbR_13630	GSbR_14980	GSbR_16320	GSbR_18240	GSbR_18650	GSbR_18660	GSbR_19200	GSbR_19260	GSbR_22550	GSbR_23130	GSbR_25750	GSbR_26280	GSbR_27580	GSbR_28590	GSbR_31110	GSbR_34430	GSbR_35410	GSbR_37920	GSbR_38300	GSbR_38820	GSbR_39190	GSbR_40840	GSbR_43130	GSbR_43140	GSbR_43180	GSbR_43310	GSbR_43320	GSbR_43470	Unnamed: 32
Sorangium_cellulosum_So_ce_56	0.21	0.15	0.13	0.47	0.15	0.11	0.13	0.19	0.0	0.39	0.11	0.07	0.09	0.0	0.21	0.0	0.27	0.22	0.46	0.17	0.5	0.07	0.22	0.41	0.27	0.11	0.0	0.0	0.0	0.06	0.0	
Anaeromyxobacter_dehalogenans_2CP-1	0.23	0.2	0.09	0.55	0.14	0.17	0.14	0.36	0.67	0.31	0.13	0.08	0.33	0.11	0.29	0.21	0.29	0.25	0.15	0.15	0.6	0.58	0.28	0.41	0.3	0.12	0.0	0.0	0.0	0.05	0.0	
Stigmatella_aurantiaca_DW4/3-1	0.16	0.21	0.15	0.5	0.13	0.12	0.12	0.0	0.0	0.4	0.12	0.05	0.1	0.0	0.27	0.0	0.23	0.19	0.13	0.14	0.61	0.0	0.27	0.39	0.27	0.15	0.11	0.0	0.0	0.14	0.2	
Corallococcus_coralloides_DSM_2259	0.23	0.21	0.11	0.49	0.14	0.11	0.4	0.16	0.05	0.37	0.16	0.07	0.11	0.0	0.26	0.0	0.26	0.18	0.14	0.0	0.62	0.0	0.27	0.38	0.22	0.13	0.0	0.0	0.0	0.13	0.0	
Myxococcus_xanthus_DK_1622	0.15	0.22	0.1	0.49	0.13	0.11	0.11	0.18	0.0	0.37	0.12	0.05	0.1	0.13	0.25	0.0	0.26	0.2	0.14	0.13	0.64	0.0	0.25	0.38	0.23	0.13	0.0	0.0	0.0	0.13	0.2	
Myxococcus_stipitatus_DSM_14675	0.23	0.21	0.12	0.49	0.13	0.12	0.28	0.18	0.0	0.38	0.12	0.05	0.1	0.0	0.21	0.0	0.24	0.21	0.13	0.15	0.63	0.0	0.26	0.38	0.19	0.12	0.0	0.0	0.0	0.13	0.0	
Geoalkalibacter_subterraneus_Red1	0.2	0.12	0.0	0.47	0.18	0.75	0.16	0.0	0.81	0.64	0.68	0.07	0.28	0.0	0.24	0.0	0.37	0.12	0.17	0.19	0.78	0.17	0.38	0.47	0.45	0.09	0.0	0.0	0.0	0.03	0.19	
Desulfuromonas_soudanensis_WTL	0.18	0.18	0.08	0.49	0.16	0.57	0.15	0.59	0.81	0.63	0.69	0.07	0.32	0.0	0.54	0.46	0.35	0.64	0.23	0.21	0.75	0.16	0.4	0.52	0.47	0.08	0.0	0.0	0.0	0.03	0.0	
Pelobacter_carbinolicus_DSM_2380	0.21	0.17	0.09	0.5	0.17	0.3	0.14	0.5	0.13	0.46	0.66	0.09	0.27	0.4	0.0	0.12	0.3	0.55	0.17	0.21	0.75	0.57	0.41	0.55	0.5	0.09	0.0	0.0	0.0	0.03	0.19	
Pelobacter_acetylenicus_DSM_3246	0.18	0.14	0.09	0.49	0.16	0.19	0.15	0.59	0.0	0.43	0.67	0.09	0.27	0.0	0.0	0.12	0.14	0.55	0.16	0.21	0.75	0.55	0.39	0.53	0.46	0.09	0.0	0.0	0.0	0.03	0.0	
Geobacter_metallireducens_GS-15	0.14	0.45	0.1	0.81	0.17	0.8	0.11	0.65	0.9	0.72	0.82	0.06	0.34	0.0	0.52	0.0	0.57	0.11	0.12	0.2	0.84	0.86	0.49	0.66	0.43	0.09	0.12	0.12	0.0	0.03	0.0	
Geobacter_anodireducens_SD-1	0.22	0.26	0.08	0.78	0.18	0.44	0.11	0.62	0.87	0.72	0.84	0.81	0.36	0.0	0.57	0.0	0.57	0.09	0.11	0.2	0.83	0.13	0.45	0.67	0.44	0.1	0.12	0.12	0.0	0.03	0.0	
Geobacter_sulfurreducens_YM18	0.23	0.44	0.09	0.79	0.18	0.79	0.11	0.6	0.89	0.73	0.84	0.81	0.37	0.0	0.57	0.0	0.57	0.09	0.11	0.2	0.83	0.86	0.45	0.68	0.44	0.1	0.12	0.12	0.0	0.03	0.0	
Geobacter_sulfurreducens_PCA	0.22	0.25	0.08	0.79	0.18	0.79	0.11	0.61	0.88	0.73	0.84	0.81	0.37	0.0	0.57	0.0	0.57	0.09	0.12	0.2	0.83	0.86	0.45	0.69	0.44	0.1	0.12	0.12	0.0	0.03	0.0	
Geobacter_sulfurreducens_KN400	0.21	0.25	0.09	0.79	0.18	0.79	0.11	0.61	0.88	0.73	0.84	0.82	0.37	0.0	0.57	0.0	0.57	0.09	0.12	0.2	0.83	0.86	0.45	0.69	0.44	0.1	0.12	0.12	0.0	0.03	0.0	
Geobacter_sulfurreducens_AM-1	0.21	0.25	0.08	0.79	0.17	0.79	0.11	0.61	0.88	0.73	0.84	0.81	0.37	0.0	0.57	0.0	0.57	0.09	0.12	0.2	0.83	0.86	0.45	0.67	0.43	0.1	0.12	0.12	0.0	0.03	0.0	
Geobacter_sp._DSM_9736	0.2	0.25	0.09	0.78	0.16	0.78	0.11	0.12	0.89	0.72	0.86	0.06	0.4	0.0	0.26	0.1	0.57	0.67	0.14	0.18	0.83	0.0	0.48	0.65	0.42	0.09	0.0	0.0	0.0	0.03	0.18	
Geobacter_uraniireducens_Rf4	0.19	0.24	0.09	0.81	0.19	0.8	0.11	0.11	0.89	0.69	0.85	0.8	0.39	0.0	0.55	0.65	0.54	0.72	0.14	0.21	0.83	0.9	0.46	0.65	0.43	0.84	0.71	0.67	0.29	0.23	0.0	
Geobacter_daltonii_FRC-32	0.69	0.22	0.12	0.81	0.3	0.81	0.11	0.11	0.88	0.72	0.81	0.06	0.36	0.0	0.28	0.0	0.52	0.68	0.21	0.21	0.83	0.6	0.49	0.65	0.45	0.09	0.13	0.13	0.13	0.03	0.0	
Geobacter_sp._M18	0.17	0.28	0.09	0.8	0.17	0.76	0.12	0.71	0.9	0.62	0.84	0.79	0.37	0.0	0.57	0.25	0.55	0.72	0.14	0.2	0.82	0.0	0.45	0.7	0.43	0.1	0.0	0.0	0.0	0.03	0.0	
Geobacter_bemidjiensis_Bem	0.18	0.26	0.49	0.8	0.16	0.76	0.12	0.45	0.85	0.62	0.85	0.79	0.41	0.0	0.4	0.0	0.56	0.69	0.14	0.2	0.8	0.0	0.47	0.69	0.43	0.09	0.0	0.0	0.0	0.04	0.0	
Geobacter_sp._M21	0.78	0.27	0.08	0.79	0.35	0.76	0.12	0.42	0.85	0.62	0.85	0.79	0.41	0.0	0.56	0.0	0.53	0.7	0.13	0.2	0.8	0.82	0.47	0.7	0.43	0.09	0.0	0.0	0.0	0.03	0.0	
Geobacter_lovleyi_SZ	0.19	0.45	0.59	0.77	0.18	0.84	0.11	0.45	0.88	0.79	0.82	0.88	0.38	0.51	0.26	0.0	0.65	0.69	0.14	0.2	0.89	0.85	0.5	0.71	0.47	0.09	0.0	0.0	0.0	0.03	0.58	
Pelobacter_propionicus_DSM_2379	0.19	0.26	0.08	0.79	0.16	0.19	0.1	0.75	0.91	0.84	0.83	0.76	0.57	0.39	0.0	0.1	0.64	0.68	0.15	0.2	0.91	0.87	0.75	0.73	0.44	0.1	0.0	0.0	0.0	0.03	0.0	
Geobacter_sp._SbR.gbff	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
Geobacter_sp._FeAm09	0.19	0.25	0.09	0.83	0.18	0.49	0.11	0.0	0.87	0.88	0.88	0.87	0.52	0.51	0.6	0.1	0.69	0.77	0.15	0.2	0.92	0.0	0.72	0.79	0.47	0.1	0.57	0.55	0.27	0.03	0.0	
Geobacter_pickeringii_G13	0.14	0.22	0.11	0.8	0.17	0.8	0.11	0.75	0.86	0.73	0.83	0.05	0.36	0.0	0.52	0.11	0.57	0.1	0.12	0.18	0.83	0.0	0.48	0.67	0.44	0.09	0.13	0.12	0.0	0.04	0.0	
