"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"GSbR_00010",194,0.0876,0.0057,128.68,0.8105,0.5211,0.3559,-0.71716556639612,-1.0684914309972,0.569391809795485,"","TetR family transcriptional regulator",0
"GSbR_00020",134,0.097,-0.2448,128.84,0.7734,0.4062,0.4222,-0.718998385142053,0.245604449853252,0.289123990813697,"","hypothetical protein",0
"GSbR_00030",197,0.066,-0.1863,127.4,0.8402,0.5,0.3387,-1.02054531716071,-0.85129094345483,0.857687103636519,"","haloacid dehalogenase",0
"GSbR_00040",69,0.0725,0.9768,125.11,0.5373,0.5821,0.5,1.70631658621468,0.620629755680685,-1.0655411890125,"","hypothetical protein",0
"GSbR_00050",52,0.0385,0.4346,124.71,0.6458,0.4167,0.3846,0.76962043152197,-3.75705026995287,0.215788938161156,"","hypothetical protein",0
"GSbR_00060",152,0.0592,-0.2487,129.72,0.75,0.527,0.42,-0.24209663023749,-0.306580884493316,0.405566329646604,"","hypothetical protein",0
"GSbR_00070",216,0.0556,-0.2769,124.01,0.6462,0.5566,0.4242,0.279048274389672,-0.0581879380865563,-0.990482772637802,"","hypothetical protein",0
"GSbR_00080",45,0.0667,0.4067,132.57,0.75,0.35,0.6154,-0.335192498599275,1.73515131814347,-2.83589284009269,"","hypothetical protein",0
"GSbR_00090",135,0.0667,-0.3504,131.83,0.8045,0.4436,0.4474,-0.788612898885265,0.132169939861212,-0.868241059549961,"","hypothetical protein",0
"GSbR_00100",300,0.0767,0.0523,126.65,0.7763,0.4881,0.5288,-0.632728228700347,-0.381777474824843,-0.699286941374472,"","hypothetical protein",0
"GSbR_00110",179,0.0838,-0.4385,131.06,0.7907,0.5,0.3273,-0.740415225750774,-1.18421546394375,1.15806890469826,"dsb","dithiol-disulfide isomerase",0
"GSbR_00120",149,0.0738,-0.3725,131.11,0.7113,0.4507,0.575,-0.119678294557831,-0.497433675894555,-1.60342226513858,"","hypothetical protein",0
"GSbR_00130",380,0.1079,0.1366,120.13,0.7108,0.4027,0.5093,0.169052533785172,0.749301855177476,0.162575220008592,"","hypothetical protein",0
"GSbR_00140",171,0.0819,-0.3211,128.31,0.7246,0.4611,0.4194,-0.398220966003594,0.369243973098768,-0.834155882277108,"","tRNA (N6-threonylcarbamoyladenosine(37)-N6)- methyltransferase TrmO",0
"GSbR_00150",533,0.0638,0.0103,127.44,0.7345,0.4922,0.3795,-0.309824882634621,-0.222702943797233,-0.20264453372826,"","hypothetical protein",0
"GSbR_00160",299,0.0535,-0.4097,126.4,0.6846,0.4765,0.4615,0.181035214195062,-0.334902345559225,-1.14894645280216,"","DNA-binding protein",0
"GSbR_00170",197,0.0863,-0.1051,128.85,0.7098,0.487,0.5,-0.329819357193218,-0.526252058778138,-0.677914871411188,"","hypothetical protein",0
"GSbR_00180",125,0.04,-0.5144,134.31,0.7778,0.5299,0.375,-0.460276104148536,-0.449078078800368,1.5612921071544,"","DUF1992 domain-containing protein",0
"GSbR_00190",243,0.0947,-0.0551,127.25,0.7696,0.4348,0.4659,-0.446202772197324,1.01690841994965,0.134274560000032,"","hypothetical protein",0
"GSbR_00200",227,0.1101,0.793,124.03,0.7667,0.481,0.3924,-0.58840433840696,-0.286364542159738,0.936281383603644,"","branched-chain amino acid ABC transporter permease",0
"GSbR_00210",101,0.0594,0.9941,122.54,0.7609,0.6739,0.4,-0.497274516009749,-3.04082885450044,0.621342735955935,"","branched-chain amino acid transport",0
"GSbR_00220",60,0.1167,-0.5683,133.16,0.5263,0.5263,0.2857,1.17243244390207,-0.875816936848506,-0.511247639019571,"","hypothetical protein",0
"GSbR_00230",438,0.0639,-0.3463,128.05,0.7791,0.4679,0.4485,-0.904516331502216,0.0438432436542577,0.544469959610618,"lysA","diaminopimelate decarboxylase",0
"GSbR_00240",424,0.0991,-0.2314,130.44,0.6893,0.5,0.4676,-0.173829389287495,-0.378679693637585,-0.0906253204597738,"","hsp70 family protein",0
"GSbR_00250",115,0.0957,-0.4461,133.52,0.8073,0.5046,0.3667,-0.743203576769333,-1.35828304808628,0.780972130506781,"hxlR","HxlR family transcriptional regulator",0
"GSbR_00260",210,0.081,-0.0857,127.95,0.809,0.4221,0.4394,-0.88565937990459,-0.160230149832416,0.488482175433072,"","FMN reductase",0
"GSbR_00270",228,0.0658,-0.0912,123.7,0.7195,0.4661,0.3103,-0.110612618622131,-1.32334800594878,-0.0521268808655848,"","hypothetical protein",0
"GSbR_00280",338,0.1095,-0.1003,128.82,0.6698,0.5047,0.3585,0.251272524259463,-0.15073768080325,-0.171999950886595,"","alpha/beta hydrolase",0
"GSbR_00290",424,0.0519,-0.3031,126.73,0.7439,0.4927,0.3577,-0.407884391528358,-0.806817556869372,-0.338179364428044,"","transpeptidase",0
"GSbR_00300",99,0.0101,-0.6374,127.26,0.6316,0.5263,0.48,0.410497984537253,0.872225299122078,-1.14045852840554,"","lipoprotein",0
"GSbR_00310",312,0.0737,-0.4407,128.92,0.7314,0.4951,0.4348,-0.0217508468853898,-0.885101400079243,-0.904091370080301,"","transpeptidase",0
"GSbR_00320",438,0.0479,-0.3475,128.54,0.8279,0.4674,0.4173,-0.85040906229182,-0.00744419180067211,0.156418709615687,"rhlE-2","ATP-dependent RNA helicase RhlE",0
"GSbR_00330",206,0.0971,-0.3277,131.32,0.607,0.5224,0.5079,1.13498312680288,-0.08747296852688,-0.236637646963995,"","hypothetical protein",0
"GSbR_00340",87,0.0345,0.6264,126.88,0.5814,0.5,0.4444,1.00947556858066,0.893019871095023,-1.47414665732762,"","hypothetical protein",0
