	Sorangium_cellulosum_So_ce_56	Anaeromyxobacter_dehalogenans_2CP-1	Stigmatella_aurantiaca_DW4/3-1	Corallococcus_coralloides_DSM_2259	Myxococcus_xanthus_DK_1622	Myxococcus_stipitatus_DSM_14675	Geoalkalibacter_subterraneus_Red1	Desulfuromonas_soudanensis_WTL	Pelobacter_carbinolicus_DSM_2380	Pelobacter_acetylenicus_DSM_3246	Geobacter_metallireducens_GS-15	Geobacter_anodireducens_SD-1	Geobacter_sulfurreducens_YM18	Geobacter_sulfurreducens_PCA	Geobacter_sulfurreducens_KN400	Geobacter_sulfurreducens_AM-1	Geobacter_sp._DSM_9736	Geobacter_uraniireducens_Rf4	Geobacter_daltonii_FRC-32	Geobacter_sp._M18	Geobacter_bemidjiensis_Bem	Geobacter_sp._M21	Geobacter_lovleyi_SZ	Pelobacter_propionicus_DSM_2379	Geobacter_sp._SbR.gbff	Geobacter_sp._FeAm09	Geobacter_pickeringii_G13
GSbR_00890	0.21	0.23	0.16	0.23	0.15	0.23	0.2	0.18	0.21	0.18	0.14	0.22	0.23	0.22	0.21	0.21	0.2	0.19	0.69	0.17	0.18	0.78	0.19	0.19	1	0.19	0.14
GSbR_03710	0.22	0	0	0.22	0.24	0.22	0	0	0.24	0	0	0	0	0	0	0	0.58	0	0.57	0.72	0.67	0.67	0	0.21	1	0	0.23
GSbR_13230	0.13	0.09	0.15	0.11	0.1	0.12	0	0.08	0.09	0.09	0.1	0.08	0.09	0.08	0.09	0.08	0.09	0.09	0.12	0.09	0.49	0.08	0.59	0.08	1	0.09	0.11
GSbR_13630	0.47	0.55	0.5	0.49	0.49	0.49	0.47	0.49	0.5	0.49	0.81	0.78	0.79	0.79	0.79	0.79	0.78	0.81	0.81	0.8	0.8	0.79	0.77	0.79	1	0.83	0.8
GSbR_14980	0.15	0.14	0.13	0.14	0.13	0.13	0.18	0.16	0.17	0.16	0.17	0.18	0.18	0.18	0.18	0.17	0.16	0.19	0.3	0.17	0.16	0.35	0.18	0.16	1	0.18	0.17
GSbR_16320	0.11	0.17	0.12	0.11	0.11	0.12	0.75	0.57	0.3	0.19	0.8	0.44	0.79	0.79	0.79	0.79	0.78	0.8	0.81	0.76	0.76	0.76	0.84	0.19	1	0.49	0.8
GSbR_18240	0.13	0.14	0.12	0.4	0.11	0.28	0.16	0.15	0.14	0.15	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.12	0.12	0.12	0.11	0.1	1	0.11	0.11
GSbR_18650	0.19	0.36	0	0.16	0.18	0.18	0	0.59	0.5	0.59	0.65	0.62	0.6	0.61	0.61	0.61	0.12	0.11	0.11	0.71	0.45	0.42	0.45	0.75	1	0	0.75
GSbR_18660	0	0.67	0	0.05	0	0	0.81	0.81	0.13	0	0.9	0.87	0.89	0.88	0.88	0.88	0.89	0.89	0.88	0.9	0.85	0.85	0.88	0.91	1	0.87	0.86
GSbR_19200	0.39	0.31	0.4	0.37	0.37	0.38	0.64	0.63	0.46	0.43	0.72	0.72	0.73	0.73	0.73	0.73	0.72	0.69	0.72	0.62	0.62	0.62	0.79	0.84	1	0.88	0.73
GSbR_19260	0.11	0.13	0.12	0.16	0.12	0.12	0.68	0.69	0.66	0.67	0.82	0.84	0.84	0.84	0.84	0.84	0.86	0.85	0.81	0.84	0.85	0.85	0.82	0.83	1	0.88	0.83
GSbR_23130	0.09	0.33	0.1	0.11	0.1	0.1	0.28	0.32	0.27	0.27	0.34	0.36	0.37	0.37	0.37	0.37	0.4	0.39	0.36	0.37	0.41	0.41	0.38	0.57	1	0.52	0.36
GSbR_25750	0	0.11	0	0	0.13	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51	0.39	1	0.51	0
GSbR_27580	0	0.21	0	0	0	0	0	0.46	0.12	0.12	0	0	0	0	0	0	0.1	0.65	0	0.25	0	0	0	0.1	1	0.1	0.11
GSbR_28590	0.27	0.29	0.23	0.26	0.26	0.24	0.37	0.35	0.3	0.14	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.54	0.52	0.55	0.56	0.53	0.65	0.64	1	0.69	0.57
GSbR_31110	0.22	0.25	0.19	0.18	0.2	0.21	0.12	0.64	0.55	0.55	0.11	0.09	0.09	0.09	0.09	0.09	0.67	0.72	0.68	0.72	0.69	0.7	0.69	0.68	1	0.77	0.1
GSbR_34430	0.46	0.15	0.13	0.14	0.14	0.13	0.17	0.23	0.17	0.16	0.12	0.11	0.11	0.12	0.12	0.12	0.14	0.14	0.21	0.14	0.14	0.13	0.14	0.15	1	0.15	0.12
GSbR_35410	0.17	0.15	0.14	0	0.13	0.15	0.19	0.21	0.21	0.21	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.21	0.21	0.2	0.2	0.2	0.2	0.2	1	0.2	0.18
GSbR_37920	0.5	0.6	0.61	0.62	0.64	0.63	0.78	0.75	0.75	0.75	0.84	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.82	0.8	0.8	0.89	0.91	1	0.92	0.83
GSbR_38300	0.07	0.58	0	0	0	0	0.17	0.16	0.57	0.55	0.86	0.13	0.86	0.86	0.86	0.86	0	0.9	0.6	0	0	0.82	0.85	0.87	1	0	0
GSbR_38820	0.22	0.28	0.27	0.27	0.25	0.26	0.38	0.4	0.41	0.39	0.49	0.45	0.45	0.45	0.45	0.45	0.48	0.46	0.49	0.45	0.47	0.47	0.5	0.75	1	0.72	0.48
GSbR_39160	0.35	0.09	0.13	0.11	0.13	0.12	0.06	0.06	0.07	0.07	0	0	0	0	0	0	0.07	0.62	0.09	0.56	0.07	0.07	0.06	0.07	1	0.54	0
GSbR_39190	0.41	0.41	0.39	0.38	0.38	0.38	0.47	0.52	0.55	0.53	0.66	0.67	0.68	0.69	0.69	0.67	0.65	0.65	0.65	0.7	0.69	0.7	0.71	0.73	1	0.79	0.67
GSbR_40840	0.27	0.3	0.27	0.22	0.23	0.19	0.45	0.47	0.5	0.46	0.43	0.44	0.44	0.44	0.44	0.43	0.42	0.43	0.45	0.43	0.43	0.43	0.47	0.44	1	0.47	0.44
GSbR_43130	0.11	0.12	0.15	0.13	0.13	0.12	0.09	0.08	0.09	0.09	0.09	0.1	0.1	0.1	0.1	0.1	0.09	0.84	0.09	0.1	0.09	0.09	0.09	0.1	1	0.1	0.09
GSbR_43140	0	0	0.11	0	0	0	0	0	0	0	0.12	0.12	0.12	0.12	0.12	0.12	0	0.71	0.13	0	0	0	0	0	1	0.57	0.13
GSbR_43180	0	0	0	0	0	0	0	0	0	0	0.12	0.12	0.12	0.12	0.12	0.12	0	0.67	0.13	0	0	0	0	0	1	0.55	0.12
GSbR_43310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.13	0	0	0	0	0	1	0.27	0
GSbR_43320	0.06	0.05	0.14	0.13	0.13	0.13	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.23	0.03	0.03	0.04	0.03	0.03	0.03	1	0.03	0.04
GSbR_43470	0	0	0.2	0	0.2	0	0.19	0	0.19	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.58	0	1	0	0
GSbR_43510	0.19	0.16	0.2	0.21	0.19	0.19	0.2	0.23	0.23	0.25	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.22	0.2	0.22	0.21	0.21	0.21	0.22	1	0.17	0.22
GSbR_01260	0.11	0.11	0.11	0.11	0.11	0.11	0.49	0.52	0.33	0.33	0.64	0.64	0.64	0.64	0.64	0.64	0.65	0.67	0.66	0.66	0.66	0.66	0.69	0.3	1	0.69	0.65
GSbR_02960	0.18	0.56	0.09	0.09	0.1	0.09	0.09	0.12	0.13	0.13	0.6	0.6	0.6	0.6	0.6	0.6	0.61	0.62	0.63	0.61	0.59	0.59	0.67	0.12	1	0.76	0.63
GSbR_07000	0.48	0.42	0.06	0.08	0.06	0.06	0.35	0.64	0.21	0.21	0.1	0.09	0.1	0.1	0.1	0.1	0.11	0.11	0.1	0.81	0.1	0.1	0.81	0.21	1	0.76	0.72
GSbR_07070	0.08	0.51	0.05	0.07	0.05	0.05	0.1	0.09	0.06	0.04	0.71	0.09	0.09	0.09	0.09	0.09	0.1	0.09	0.09	0.71	0.09	0.09	0.7	0.03	1	0.09	0.23
GSbR_09570	0.13	0.15	0.15	0.15	0.15	0.14	0.15	0.41	0.42	0.42	0.6	0.59	0.57	0.57	0.58	0.58	0.59	0.62	0.59	0.54	0.52	0.52	0.17	0.14	1	0.67	0.59
GSbR_13670	0.27	0.43	0.18	0.19	0.2	0.18	0.67	0.71	0.2	0.09	0.75	0.73	0.74	0.74	0.74	0.74	0.78	0.8	0.8	0.79	0.79	0.8	0.24	0.07	1	0.23	0.74
GSbR_17140	0.14	0.35	0.11	0.22	0.12	0.12	0.75	0.73	0.13	0.07	0.83	0.82	0.82	0.82	0.82	0.82	0.83	0.79	0.78	0.77	0.79	0.77	0.28	0.07	1	0.88	0.83
GSbR_17210	0.16	0.38	0.11	0.14	0.11	0.11	0.37	0.37	0.13	0.06	0.26	0.64	0.64	0.63	0.63	0.63	0.27	0.78	0.28	0.76	0.77	0.77	0.75	0.05	1	0.85	0.64
GSbR_17260	0.16	0.38	0.11	0.28	0.13	0.11	0.29	0.66	0.13	0.08	0.32	0.31	0.31	0.31	0.31	0.31	0.31	0.79	0.72	0.32	0.77	0.76	0.22	0.08	1	0.4	0.38
GSbR_17270	0.17	0.42	0.17	0.36	0.16	0.17	0.53	0.6	0.18	0.19	0.51	0.52	0.52	0.52	0.52	0.52	0.29	0.86	0.85	0.49	0.84	0.84	0.19	0.16	1	0.5	0.51
GSbR_25290	0.22	0.21	0.2	0.2	0.25	0.25	0.05	0.27	0.28	0.04	0.17	0.05	0.05	0.05	0.05	0.05	0.64	0.16	0.63	0.17	0.61	0.62	0.05	0.04	1	0.05	0.05
GSbR_27130	0.21	0.22	0.19	0.19	0.19	0.19	0.24	0.51	0.26	0.26	0.64	0.64	0.6	0.6	0.6	0.6	0.69	0.64	0.67	0.72	0.71	0.73	0.23	0.24	1	0.73	0.67
GSbR_32220	0.14	0.26	0.07	0.14	0.09	0.09	0.27	0.27	0.12	0.05	0.27	0.29	0.29	0.29	0.29	0.29	0.26	0.3	0.27	0.29	0.31	0.31	0.3	0.06	1	0.31	0.29
GSbR_33930	0.13	0.14	0.14	0.13	0.12	0.14	0.16	0.38	0.15	0.15	0.16	0.13	0.15	0.15	0.15	0.15	0.72	0.16	0.75	0.14	0.75	0.74	0.14	0.14	1	0.14	0.15
GSbR_36480	0.27	0.28	0.13	0.29	0.15	0.14	0.28	0.25	0.35	0.13	0.89	0.9	0.91	0.9	0.9	0.9	0.89	0.89	0.85	0.29	0.3	0.3	0.3	0.13	1	0.95	0.89
GSbR_38200	0.26	0.36	0.19	0.21	0.22	0.21	0.38	0.32	0.21	0.09	0.3	0.29	0.3	0.3	0.3	0.3	0.31	0.3	0.31	0.31	0.3	0.3	0.33	0.09	1	0.29	0.3
GSbR_38210	0.04	0.06	0.05	0.05	0.05	0.05	0.05	0.08	0.06	0.06	0.07	0.05	0.05	0.05	0.05	0.05	0.07	0.07	0.08	0.05	0.06	0.06	0.08	0.04	1	0.08	0.06
GSbR_40370	0.13	0.38	0.1	0.15	0.11	0.11	0.32	0.32	0.12	0.05	0.28	0.28	0.28	0.28	0.28	0.28	0.78	0.78	0.77	0.77	0.76	0.76	0.69	0.06	1	0.28	0.28
GSbR_07250	0.15	0.2	0.21	0.21	0.22	0.21	0.12	0.18	0.17	0.14	0.45	0.26	0.44	0.25	0.25	0.25	0.25	0.24	0.22	0.28	0.26	0.27	0.45	0.26	1	0.25	0.22
GSbR_22550	0.07	0.08	0.05	0.07	0.05	0.05	0.07	0.07	0.09	0.09	0.06	0.81	0.81	0.81	0.82	0.81	0.06	0.8	0.06	0.79	0.79	0.79	0.88	0.76	1	0.87	0.05
GSbR_26280	0.21	0.29	0.27	0.26	0.25	0.21	0.24	0.54	0	0	0.52	0.57	0.57	0.57	0.57	0.57	0.26	0.55	0.28	0.57	0.4	0.56	0.26	0	1	0.6	0.52
