	GSbR_00890	GSbR_01260	GSbR_02960	GSbR_03710	GSbR_07000	GSbR_07070	GSbR_07250	GSbR_09570	GSbR_13230	GSbR_13630	GSbR_13670	GSbR_14980	GSbR_16320	GSbR_17140	GSbR_17210	GSbR_17260	GSbR_17270	GSbR_18240	GSbR_18650	GSbR_18660	GSbR_19200	GSbR_19260	GSbR_22550	GSbR_23130	GSbR_25290	GSbR_25750	GSbR_26280	GSbR_27130	GSbR_27580	GSbR_28590	GSbR_31110	GSbR_32220	GSbR_33930	GSbR_34430	GSbR_35410	GSbR_36480	GSbR_37920	GSbR_38200	GSbR_38210	GSbR_38300	GSbR_38820	GSbR_39160	GSbR_39190	GSbR_40370	GSbR_40840	GSbR_43130	GSbR_43140	GSbR_43180	GSbR_43310	GSbR_43320	GSbR_43470	GSbR_43510	Unnamed: 53
Sorangium_cellulosum_So_ce_56	0.21	0.11	0.18	0.22	0.48	0.08	0.15	0.13	0.13	0.47	0.27	0.15	0.11	0.14	0.16	0.16	0.17	0.13	0.19	0.0	0.39	0.11	0.07	0.09	0.22	0.0	0.21	0.21	0.0	0.27	0.22	0.14	0.13	0.46	0.17	0.27	0.5	0.26	0.04	0.07	0.22	0.35	0.41	0.13	0.27	0.11	0.0	0.0	0.0	0.06	0.0	0.19	
Anaeromyxobacter_dehalogenans_2CP-1	0.23	0.11	0.56	0.0	0.42	0.51	0.2	0.15	0.09	0.55	0.43	0.14	0.17	0.35	0.38	0.38	0.42	0.14	0.36	0.67	0.31	0.13	0.08	0.33	0.21	0.11	0.29	0.22	0.21	0.29	0.25	0.26	0.14	0.15	0.15	0.28	0.6	0.36	0.06	0.58	0.28	0.09	0.41	0.38	0.3	0.12	0.0	0.0	0.0	0.05	0.0	0.16	
Stigmatella_aurantiaca_DW4/3-1	0.16	0.11	0.09	0.0	0.06	0.05	0.21	0.15	0.15	0.5	0.18	0.13	0.12	0.11	0.11	0.11	0.17	0.12	0.0	0.0	0.4	0.12	0.05	0.1	0.2	0.0	0.27	0.19	0.0	0.23	0.19	0.07	0.14	0.13	0.14	0.13	0.61	0.19	0.05	0.0	0.27	0.13	0.39	0.1	0.27	0.15	0.11	0.0	0.0	0.14	0.2	0.2	
Corallococcus_coralloides_DSM_2259	0.23	0.11	0.09	0.22	0.08	0.07	0.21	0.15	0.11	0.49	0.19	0.14	0.11	0.22	0.14	0.28	0.36	0.4	0.16	0.05	0.37	0.16	0.07	0.11	0.2	0.0	0.26	0.19	0.0	0.26	0.18	0.14	0.13	0.14	0.0	0.29	0.62	0.21	0.05	0.0	0.27	0.11	0.38	0.15	0.22	0.13	0.0	0.0	0.0	0.13	0.0	0.21	
Myxococcus_xanthus_DK_1622	0.15	0.11	0.1	0.24	0.06	0.05	0.22	0.15	0.1	0.49	0.2	0.13	0.11	0.12	0.11	0.13	0.16	0.11	0.18	0.0	0.37	0.12	0.05	0.1	0.25	0.13	0.25	0.19	0.0	0.26	0.2	0.09	0.12	0.14	0.13	0.15	0.64	0.22	0.05	0.0	0.25	0.13	0.38	0.11	0.23	0.13	0.0	0.0	0.0	0.13	0.2	0.19	
Myxococcus_stipitatus_DSM_14675	0.23	0.11	0.09	0.22	0.06	0.05	0.21	0.14	0.12	0.49	0.18	0.13	0.12	0.12	0.11	0.11	0.17	0.28	0.18	0.0	0.38	0.12	0.05	0.1	0.25	0.0	0.21	0.19	0.0	0.24	0.21	0.09	0.14	0.13	0.15	0.14	0.63	0.21	0.05	0.0	0.26	0.12	0.38	0.11	0.19	0.12	0.0	0.0	0.0	0.13	0.0	0.19	
Geoalkalibacter_subterraneus_Red1	0.2	0.49	0.09	0.0	0.35	0.1	0.12	0.15	0.0	0.47	0.67	0.18	0.75	0.75	0.37	0.29	0.53	0.16	0.0	0.81	0.64	0.68	0.07	0.28	0.05	0.0	0.24	0.24	0.0	0.37	0.12	0.27	0.16	0.17	0.19	0.28	0.78	0.38	0.05	0.17	0.38	0.06	0.47	0.32	0.45	0.09	0.0	0.0	0.0	0.03	0.19	0.2	
Desulfuromonas_soudanensis_WTL	0.18	0.52	0.12	0.0	0.64	0.09	0.18	0.41	0.08	0.49	0.71	0.16	0.57	0.73	0.37	0.66	0.6	0.15	0.59	0.81	0.63	0.69	0.07	0.32	0.27	0.0	0.54	0.51	0.46	0.35	0.64	0.27	0.38	0.23	0.21	0.25	0.75	0.32	0.08	0.16	0.4	0.06	0.52	0.32	0.47	0.08	0.0	0.0	0.0	0.03	0.0	0.23	
Pelobacter_carbinolicus_DSM_2380	0.21	0.33	0.13	0.24	0.21	0.06	0.17	0.42	0.09	0.5	0.2	0.17	0.3	0.13	0.13	0.13	0.18	0.14	0.5	0.13	0.46	0.66	0.09	0.27	0.28	0.4	0.0	0.26	0.12	0.3	0.55	0.12	0.15	0.17	0.21	0.35	0.75	0.21	0.06	0.57	0.41	0.07	0.55	0.12	0.5	0.09	0.0	0.0	0.0	0.03	0.19	0.23	
Pelobacter_acetylenicus_DSM_3246	0.18	0.33	0.13	0.0	0.21	0.04	0.14	0.42	0.09	0.49	0.09	0.16	0.19	0.07	0.06	0.08	0.19	0.15	0.59	0.0	0.43	0.67	0.09	0.27	0.04	0.0	0.0	0.26	0.12	0.14	0.55	0.05	0.15	0.16	0.21	0.13	0.75	0.09	0.06	0.55	0.39	0.07	0.53	0.05	0.46	0.09	0.0	0.0	0.0	0.03	0.0	0.25	
Geobacter_metallireducens_GS-15	0.14	0.64	0.6	0.0	0.1	0.71	0.45	0.6	0.1	0.81	0.75	0.17	0.8	0.83	0.26	0.32	0.51	0.11	0.65	0.9	0.72	0.82	0.06	0.34	0.17	0.0	0.52	0.64	0.0	0.57	0.11	0.27	0.16	0.12	0.2	0.89	0.84	0.3	0.07	0.86	0.49	0.0	0.66	0.28	0.43	0.09	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_anodireducens_SD-1	0.22	0.64	0.6	0.0	0.09	0.09	0.26	0.59	0.08	0.78	0.73	0.18	0.44	0.82	0.64	0.31	0.52	0.11	0.62	0.87	0.72	0.84	0.81	0.36	0.05	0.0	0.57	0.64	0.0	0.57	0.09	0.29	0.13	0.11	0.2	0.9	0.83	0.29	0.05	0.13	0.45	0.0	0.67	0.28	0.44	0.1	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_sulfurreducens_YM18	0.23	0.64	0.6	0.0	0.1	0.09	0.44	0.57	0.09	0.79	0.74	0.18	0.79	0.82	0.64	0.31	0.52	0.11	0.6	0.89	0.73	0.84	0.81	0.37	0.05	0.0	0.57	0.6	0.0	0.57	0.09	0.29	0.15	0.11	0.2	0.91	0.83	0.3	0.05	0.86	0.45	0.0	0.68	0.28	0.44	0.1	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_sulfurreducens_PCA	0.22	0.64	0.6	0.0	0.1	0.09	0.25	0.57	0.08	0.79	0.74	0.18	0.79	0.82	0.63	0.31	0.52	0.11	0.61	0.88	0.73	0.84	0.81	0.37	0.05	0.0	0.57	0.6	0.0	0.57	0.09	0.29	0.15	0.12	0.2	0.9	0.83	0.3	0.05	0.86	0.45	0.0	0.69	0.28	0.44	0.1	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_sulfurreducens_KN400	0.21	0.64	0.6	0.0	0.1	0.09	0.25	0.58	0.09	0.79	0.74	0.18	0.79	0.82	0.63	0.31	0.52	0.11	0.61	0.88	0.73	0.84	0.82	0.37	0.05	0.0	0.57	0.6	0.0	0.57	0.09	0.29	0.15	0.12	0.2	0.9	0.83	0.3	0.05	0.86	0.45	0.0	0.69	0.28	0.44	0.1	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_sulfurreducens_AM-1	0.21	0.64	0.6	0.0	0.1	0.09	0.25	0.58	0.08	0.79	0.74	0.17	0.79	0.82	0.63	0.31	0.52	0.11	0.61	0.88	0.73	0.84	0.81	0.37	0.05	0.0	0.57	0.6	0.0	0.57	0.09	0.29	0.15	0.12	0.2	0.9	0.83	0.3	0.05	0.86	0.45	0.0	0.67	0.28	0.43	0.1	0.12	0.12	0.0	0.03	0.0	0.21	
Geobacter_sp._DSM_9736	0.2	0.65	0.61	0.58	0.11	0.1	0.25	0.59	0.09	0.78	0.78	0.16	0.78	0.83	0.27	0.31	0.29	0.11	0.12	0.89	0.72	0.86	0.06	0.4	0.64	0.0	0.26	0.69	0.1	0.57	0.67	0.26	0.72	0.14	0.18	0.89	0.83	0.31	0.07	0.0	0.48	0.07	0.65	0.78	0.42	0.09	0.0	0.0	0.0	0.03	0.18	0.21	
Geobacter_uraniireducens_Rf4	0.19	0.67	0.62	0.0	0.11	0.09	0.24	0.62	0.09	0.81	0.8	0.19	0.8	0.79	0.78	0.79	0.86	0.11	0.11	0.89	0.69	0.85	0.8	0.39	0.16	0.0	0.55	0.64	0.65	0.54	0.72	0.3	0.16	0.14	0.21	0.89	0.83	0.3	0.07	0.9	0.46	0.62	0.65	0.78	0.43	0.84	0.71	0.67	0.29	0.23	0.0	0.22	
Geobacter_daltonii_FRC-32	0.69	0.66	0.63	0.57	0.1	0.09	0.22	0.59	0.12	0.81	0.8	0.3	0.81	0.78	0.28	0.72	0.85	0.11	0.11	0.88	0.72	0.81	0.06	0.36	0.63	0.0	0.28	0.67	0.0	0.52	0.68	0.27	0.75	0.21	0.21	0.85	0.83	0.31	0.08	0.6	0.49	0.09	0.65	0.77	0.45	0.09	0.13	0.13	0.13	0.03	0.0	0.2	
Geobacter_sp._M18	0.17	0.66	0.61	0.72	0.81	0.71	0.28	0.54	0.09	0.8	0.79	0.17	0.76	0.77	0.76	0.32	0.49	0.12	0.71	0.9	0.62	0.84	0.79	0.37	0.17	0.0	0.57	0.72	0.25	0.55	0.72	0.29	0.14	0.14	0.2	0.29	0.82	0.31	0.05	0.0	0.45	0.56	0.7	0.77	0.43	0.1	0.0	0.0	0.0	0.03	0.0	0.22	
Geobacter_bemidjiensis_Bem	0.18	0.66	0.59	0.67	0.1	0.09	0.26	0.52	0.49	0.8	0.79	0.16	0.76	0.79	0.77	0.77	0.84	0.12	0.45	0.85	0.62	0.85	0.79	0.41	0.61	0.0	0.4	0.71	0.0	0.56	0.69	0.31	0.75	0.14	0.2	0.3	0.8	0.3	0.06	0.0	0.47	0.07	0.69	0.76	0.43	0.09	0.0	0.0	0.0	0.04	0.0	0.21	
Geobacter_sp._M21	0.78	0.66	0.59	0.67	0.1	0.09	0.27	0.52	0.08	0.79	0.8	0.35	0.76	0.77	0.77	0.76	0.84	0.12	0.42	0.85	0.62	0.85	0.79	0.41	0.62	0.0	0.56	0.73	0.0	0.53	0.7	0.31	0.74	0.13	0.2	0.3	0.8	0.3	0.06	0.82	0.47	0.07	0.7	0.76	0.43	0.09	0.0	0.0	0.0	0.03	0.0	0.21	
Geobacter_lovleyi_SZ	0.19	0.69	0.67	0.0	0.81	0.7	0.45	0.17	0.59	0.77	0.24	0.18	0.84	0.28	0.75	0.22	0.19	0.11	0.45	0.88	0.79	0.82	0.88	0.38	0.05	0.51	0.26	0.23	0.0	0.65	0.69	0.3	0.14	0.14	0.2	0.3	0.89	0.33	0.08	0.85	0.5	0.06	0.71	0.69	0.47	0.09	0.0	0.0	0.0	0.03	0.58	0.21	
Pelobacter_propionicus_DSM_2379	0.19	0.3	0.12	0.21	0.21	0.03	0.26	0.14	0.08	0.79	0.07	0.16	0.19	0.07	0.05	0.08	0.16	0.1	0.75	0.91	0.84	0.83	0.76	0.57	0.04	0.39	0.0	0.24	0.1	0.64	0.68	0.06	0.14	0.15	0.2	0.13	0.91	0.09	0.04	0.87	0.75	0.07	0.73	0.06	0.44	0.1	0.0	0.0	0.0	0.03	0.0	0.22	
Geobacter_sp._SbR.gbff	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
Geobacter_sp._FeAm09	0.19	0.69	0.76	0.0	0.76	0.09	0.25	0.67	0.09	0.83	0.23	0.18	0.49	0.88	0.85	0.4	0.5	0.11	0.0	0.87	0.88	0.88	0.87	0.52	0.05	0.51	0.6	0.73	0.1	0.69	0.77	0.31	0.14	0.15	0.2	0.95	0.92	0.29	0.08	0.0	0.72	0.54	0.79	0.28	0.47	0.1	0.57	0.55	0.27	0.03	0.0	0.17	
Geobacter_pickeringii_G13	0.14	0.65	0.63	0.23	0.72	0.23	0.22	0.59	0.11	0.8	0.74	0.17	0.8	0.83	0.64	0.38	0.51	0.11	0.75	0.86	0.73	0.83	0.05	0.36	0.05	0.0	0.52	0.67	0.11	0.57	0.1	0.29	0.15	0.12	0.18	0.89	0.83	0.3	0.06	0.0	0.48	0.0	0.67	0.28	0.44	0.09	0.13	0.12	0.0	0.04	0.0	0.22	
